city,latitude,longitude,timestamp,currentspeed,freeflowspeed,currenttraveltime,freeflowtraveltime,confidence,roadclosure,source
Dewas,22.9676,76.0534,2025-11-27 16:41:02.400148,1970-01-01 00:00:00.000000034,43,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000804,0.925743,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:41:03.603449,1970-01-01 00:00:00.000000018,26,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000294,0.840927,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:41:04.771430,1970-01-01 00:00:00.000000017,21,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000468,0.802207,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:42:06.372860,1970-01-01 00:00:00.000000016,21,1970-01-01 00:00:00.000000181,1970-01-01 00:00:00.000000138,1.0,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:42:07.585598,1970-01-01 00:00:00.000000034,44,1970-01-01 00:00:00.000001016,1970-01-01 00:00:00.000000785,0.929023,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:42:08.793155,1970-01-01 00:00:00.000000018,26,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000294,0.815112,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:42:10.002926,1970-01-01 00:00:00.000000017,22,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000447,0.806804,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:42:41.295810,1970-01-01 00:00:00.000000013,21,1970-01-01 00:00:00.000000222,1970-01-01 00:00:00.000000138,1.0,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:42:42.452923,1970-01-01 00:00:00.000000035,44,1970-01-01 00:00:00.000000987,1970-01-01 00:00:00.000000785,0.927398,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:42:59.971917,1970-01-01 00:00:00.000000017,21,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000468,0.806804,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:43:31.464933,1970-01-01 00:00:00.000000012,21,1970-01-01 00:00:00.000000241,1970-01-01 00:00:00.000000138,1.0,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:43:32.746368,1970-01-01 00:00:00.000000035,44,1970-01-01 00:00:00.000000987,1970-01-01 00:00:00.000000785,0.927126,False,traffic_live
Ujjain,23.1765,75.7885,2025-11-27 16:43:33.985813,1970-01-01 00:00:00.000000018,26,1970-01-01 00:00:00.000000425,1970-01-01 00:00:00.000000294,0.759761,False,traffic_live
Bhopal,23.2599,77.4126,2025-11-27 16:43:35.247685,1970-01-01 00:00:00.000000017,22,1970-01-01 00:00:00.000000578,1970-01-01 00:00:00.000000447,0.823311,False,traffic_live
Indore,22.7196,75.8577,2025-11-27 16:44:06.657592,1970-01-01 00:00:00.000000012,22,1970-01-01 00:00:00.000000241,1970-01-01 00:00:00.000000131,1.0,False,traffic_live
Dewas,22.9676,76.0534,2025-11-27 16:44:07.806023,1970-01-01 00:00:00.000000035,44,1970-01-01 00:00:00.000000987,1970-01-01 00:00:00.000000785,0.927334,False,traffic_live
